{'title': '2022年剧情冒险《搜救/极地营救》HD国语中英双字', 'create_local': '◎产\u3000\u3000地\u3000中国大陆', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000剧情 / 冒险 / 灾难', 'douban_grade': '◎豆瓣评分\u30005.6/10 from 8530  users', 'time_total': '◎片\u3000\u3000长\u3000108分钟'}
{'title': '2022年剧情《桥之彼端/堤道》BD中英双字', 'create_local': '◎产\u3000\u3000地\u3000美国', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000剧情', 'douban_grade': '◎豆瓣评分\u30006.0/10 from 8530  users', 'time_total': '◎片\u3000\u3000长\u3000120分'}
{'title': '2022年动作悬疑《福尔摩斯小姐2》BD中英双字', 'create_local': '◎产\u3000\u3000地\u3000英国/美国', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000剧情/动作/悬疑/犯罪/冒险', 'douban_grade': '◎豆瓣评分\u30006.0/10 from 8530  users', 'time_total': '◎片\u3000\u3000长\u3000120分'}
{'title': '2022年恐怖《危笑》HD韩版中英双字', 'create_local': '◎产\u3000\u3000地\u3000美国', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000恐怖', 'douban_grade': '◎豆瓣评分\u30006.4/10 from 6559  users', 'time_total': '◎片\u3000\u3000长\u3000115分钟'}
{'title': '2022年剧情动作《达荷美女战士》BD中英双字', 'create_local': '◎产\u3000\u3000地\u3000美国/加拿大', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000剧情/历史/动作', 'douban_grade': '◎豆瓣评分\u30005.9/10 from 369  users', 'time_total': '◎片\u3000\u3000长\u3000126分钟'}
{'title': '2022年动画喜剧《心心之火/烈火少女》BD国英法三语中字', 'create_local': '◎产\u3000\u3000地\u3000法国/加拿大', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000喜剧/动画/冒险', 'douban_grade': '◎豆瓣评分\u30006.9/10 from 74  users', 'time_total': '◎片\u3000\u3000长\u300092分钟'}
{'title': '2022年喜剧悬疑《看他们如何逃之夭夭》BD中英双字', 'create_local': '◎产\u3000\u3000地\u3000美国', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000喜剧/悬疑', 'douban_grade': '◎豆瓣评分\u30006.5/10 from 1069  users', 'time_total': '◎片\u3000\u3000长\u300098分钟'}
{'title': '2022年剧情《奇迹·笨小孩》BD国语中字', 'create_local': '◎产\u3000\u3000地\u3000中国大陆', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000剧情', 'douban_grade': '◎豆瓣评分\u30007.4/10  from 317887 users', 'time_total': '◎片\u3000\u3000长\u3000106分钟'}
{'title': '2022年动作《共助2：国际》BD韩语中字', 'create_local': '◎产\u3000\u3000地\u3000韩国', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000动作', 'douban_grade': '◎豆瓣评分\u30007.6/10 from 2392  users', 'time_total': '◎片\u3000\u3000长\u3000128分钟'}
{'title': '2022年剧情《世间有她》HD国语中英双字', 'create_local': '◎类\u3000\u3000别\u3000剧情', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000剧情', 'douban_grade': '◎豆瓣评分\u30005.5/10 from 28791 users', 'time_total': '◎片\u3000\u3000长\u3000116分钟'}
{'title': '2022年剧情《海的尽头是草原》HD国语中英双字', 'create_local': '◎产\u3000\u3000地\u3000中国大陆', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000剧情', 'douban_grade': '◎豆瓣评分\u30007.3/10  from 23780 users', 'time_total': '◎片\u3000\u3000长\u3000124分钟'}
{'title': '2022年战争《西线无战事》BD中英双字', 'create_local': '◎产\u3000\u3000地\u3000德国 / 美国', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000剧情 / 动作 / 战争', 'douban_grade': '◎豆瓣评分\u30008.7/10 from 14669  users', 'time_total': '◎片\u3000\u3000长\u3000148分钟'}
{'title': '2022年音乐传记《爱琳/声梦恋歌》BD英语中字', 'create_local': '◎产\u3000\u3000地\u3000法国 / 加拿大', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000剧情 / 音乐 /  传记', 'douban_grade': '◎豆瓣评分\u30006.4/10 from 89  users', 'time_total': '◎片\u3000\u3000长\u3000128分钟'}
{'title': '2022年奇幻《善恶魔法学院》BD中英双字', 'create_local': '◎产\u3000\u3000地\u3000美国', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000剧情/动作/奇幻', 'douban_grade': '◎豆瓣评分\u30005.5/10 from 3239 users', 'time_total': '◎片\u3000\u3000长\u3000147分钟'}
{'title': '2022年剧情喜剧《雷蒙德和雷》BD中英双字', 'create_local': '◎产\u3000\u3000地\u3000美国', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000剧情/喜剧', 'douban_grade': '◎豆瓣评分\u30007.1/10 from 866 users', 'time_total': '◎片\u3000\u3000长\u3000100分钟'}
{'title': '2022年剧情惊悚《良心护士》BD中英双字', 'create_local': '◎产\u3000\u3000地\u3000美国', 'up_year': '2022年', 'type': '◎类\u3000\u3000别\u3000剧情/惊悚/传记/犯罪', 'douban_grade': '◎豆瓣评分\u30007.3/10 from 699 users', 'time_total': '◎片\u3000\u3000长\u3000121分钟'}
